,name,target,FNN,Same,Sub
0,5d83020c30582ea2977a0e3e,-0.46283777,{'Ni': 4},"{'Ni': 8, 'Pt': 9}",{'Ni': 4}
1,5d83020c30582ea2977a0e42,0.03789027,"{'Ag': 1, 'Au': 1}","{'Ag': 1, 'Au': 7}","{'Ag': 1, 'Au': 4}"
2,5d83020c30582ea2977a0e4c,-1.07676474,{'Ni': 1},{'Sb': 2},{'Sb': 2}
3,5d83020c30582ea2977a0e57,-1.07505542,{'Ni': 1},{'Sb': 2},{'Sb': 2}
4,5d83020c30582ea2977a0e64,-1.3990721,"{'N': 2, 'Fe': 1}","{'N': 1, 'Fe': 4, 'Pt': 2}","{'Fe': 2, 'Pt': 1}"
5,5d83020c30582ea2977a0e73,-1.72115657,{'Fe': 1},"{'Cu': 2, 'Pt': 4}","{'Cu': 1, 'Pt': 2}"
6,5d83020c30582ea2977a0e81,-0.33020375,{'Cu': 1},"{'Si': 2, 'Cu': 4}","{'Si': 1, 'Cu': 2}"
7,5d83020c30582ea2977a0e88,-0.11716212,{'Al': 1},{'Ag': 6},"{'Al': 1, 'Ag': 2}"
8,5d83020c30582ea2977a0e8d,-0.16434789,{'Cu': 2},"{'Si': 3, 'Cu': 5}","{'Si': 1, 'Cu': 4}"
9,5d83020c30582ea2977a0eab,-0.74627282,{'Pd': 1},"{'Si': 2, 'Pd': 2}","{'Si': 1, 'Pd': 3}"
10,5d83020c30582ea2977a0eac,-0.98389547,{'Pt': 3},"{'Ga': 3, 'Pt': 4}","{'Ga': 3, 'Pt': 3}"
11,5d83020c30582ea2977a0ead,-0.61727034,{'Si': 2},"{'Si': 2, 'Pd': 4}","{'Si': 3, 'Pd': 1}"
12,5d83020c30582ea2977a0eae,-1.43064253,"{'Co': 1, 'Sb': 2}","{'Co': 2, 'Sb': 9}",{'Sb': 3}
13,5d83020c30582ea2977a0ecc,-1.20454743,"{'Al': 1, 'Ga': 1}","{'N': 4, 'Al': 1, 'Ga': 1}",{'Empty': 1}
14,5d83020c30582ea2977a0efd,-2.54695233,"{'Re': 1, 'V': 1}","{'Re': 2, 'V': 5}",{'V': 3}
15,5d83020c30582ea2977a0f05,-0.34563724,{'Ga': 1},{'Sn': 3},"{'V': 2, 'Ga': 2}"
16,5d83020c30582ea2977a0f0a,-1.81501056,{'Ir': 1},"{'V': 4, 'Ir': 1}","{'V': 2, 'Ir': 2}"
17,5d83020c30582ea2977a0f11,-1.67160835,{'W': 1},"{'Re': 3, 'V': 2}","{'Re': 1, 'V': 2}"
18,5d83020c30582ea2977a0f19,-1.33861536,"{'Os': 1, 'V': 1}","{'Os': 5, 'V': 2}","{'Os': 2, 'V': 2}"
19,5d83020c30582ea2977a0f1f,-2.08489455,"{'Si': 1, 'Re': 1}","{'Si': 4, 'Re': 4}","{'Si': 2, 'Re': 1}"
20,5d83020c30582ea2977a0f30,-1.6919651,"{'Co': 1, 'Rh': 1}","{'Co': 2, 'Sn': 3, 'Rh': 2}","{'Co': 1, 'Sn': 3, 'Rh': 2}"
21,5d83020c30582ea2977a0f34,-1.81536515,{'Re': 1},{'Rh': 6},{'Rh': 3}
22,5d83020c30582ea2977a0f67,-1.03470805,{'Au': 2},{'V': 11},{'V': 4}
23,5d83020c30582ea2977a0f7d,0.02329872,{'Sn': 2},"{'Sn': 4, 'Pt': 3}","{'Sn': 3, 'Pt': 2}"
24,5d83020c30582ea2977a0f82,-1.99088308,{'Cu': 2},"{'Cu': 2, 'Fe': 3, 'Pt': 2}",{'Pt': 5}
25,5d83020c30582ea2977a0f88,0.22055398,"{'Sn': 3, 'Au': 1}",{'Au': 11},{'Au': 7}
26,5d83020c30582ea2977a0f8b,-1.33824495,{'Ir': 1},{'Sn': 4},{'Sn': 2}
27,5d83020c30582ea2977a0f91,-2.52113148,"{'Re': 1, 'V': 1}","{'Re': 2, 'V': 5}",{'V': 3}
28,5d83020c30582ea2977a0fa3,-1.47289149,"{'Co': 1, 'V': 1}","{'Co': 1, 'V': 7}","{'Co': 1, 'V': 3}"
29,5d83020c30582ea2977a0fba,-0.59953619,{'Si': 1},"{'Si': 1, 'H': 1}",{'Si': 1}
30,5d83020c30582ea2977a0fbf,-1.21051958,"{'N': 2, 'Fe': 1, 'W': 1}","{'N': 4, 'Fe': 3, 'W': 1}","{'N': 1, 'Fe': 1, 'W': 1}"
31,5d83020c30582ea2977a0fca,-1.47462881,{'Co': 1},{'V': 6},{'V': 2}
32,5d83020c30582ea2977a0fd3,-1.10444858,"{'Sn': 2, 'V': 1}","{'Sn': 4, 'Ga': 4}","{'Sn': 3, 'V': 5}"
33,5d83020c30582ea2977a0fe2,-1.34603204,{'Os': 2},"{'Os': 4, 'V': 6}","{'Os': 3, 'V': 4}"
34,5d83020c30582ea2977a0fe8,-1.38747572,{'Co': 2},{'Re': 4},{'Re': 7}
35,5d83020c30582ea2977a0ff5,-0.16313377,{'Sn': 3},"{'Sn': 3, 'V': 3, 'Rh': 6}","{'V': 3, 'Rh': 3}"
36,5d83020c30582ea2977a0ffe,-1.31960797,"{'V': 1, 'Rh': 2}","{'Sn': 4, 'V': 1, 'Rh': 4}","{'Sn': 2, 'V': 2, 'Rh': 2}"
37,5d83020c30582ea2977a1002,-1.79285937,{'Co': 1},{'Ni': 4},"{'Co': 2, 'Ga': 2}"
38,5d83020c30582ea2977a1019,-2.00040118,{'Co': 1},"{'Si': 2, 'V': 2}","{'Si': 1, 'Co': 1, 'V': 2}"
39,5d83020c30582ea2977a101e,-0.53819765,{'Pd': 2},"{'Pd': 2, 'Re': 4}",{'Re': 7}
40,5d83020c30582ea2977a1030,-1.70341645,{'Fe': 1},"{'Pt': 4, 'Ni': 2}","{'Ni': 1, 'Pt': 2}"
41,5d83020c30582ea2977a1038,-1.66251687,"{'Ni': 1, 'W': 1}","{'N': 1, 'W': 3, 'Ni': 2}","{'W': 2, 'Ni': 2}"
42,5d83020c30582ea2977a103d,-1.72179283,{'Fe': 1},"{'Cu': 2, 'Pt': 4}","{'Cu': 1, 'Pt': 2}"
43,5d83020c30582ea2977a1045,-1.45045004,{'W': 1},{'Rh': 6},{'Rh': 3}
44,5d83020c30582ea2977a1047,-1.34876113,{'Ir': 1},{'Sn': 4},{'Sn': 2}
45,5d83020c30582ea2977a1048,-0.20134568,"{'Si': 1, 'Pd': 1}","{'Si': 3, 'Pd': 2}",{'Pd': 6}
46,5d83020c30582ea2977a104a,-1.2172739,"{'Rh': 1, 'Pt': 1}","{'Rh': 7, 'Pt': 3}","{'Rh': 5, 'Pt': 1}"
47,5d83020c30582ea2977a1054,-1.19712332,{'Rh': 1},"{'Si': 4, 'Rh': 2}","{'Si': 1, 'Rh': 1}"
48,5d83020c30582ea2977a1056,-1.68594027,{'Re': 1},"{'Co': 2, 'Re': 4}","{'Co': 1, 'Re': 2}"
49,5d83020c30582ea2977a105e,-1.92711175,"{'In': 1, 'Ir': 1}","{'In': 3, 'Ir': 2}",{'In': 4}
50,5d83020c30582ea2977a1061,-2.20972681,"{'Co': 2, 'In': 4}","{'Co': 4, 'In': 4}",{'In': 12}
51,5d83020c30582ea2977a1069,-1.52126911,{'Re': 1},"{'Re': 4, 'Ni': 2}","{'Re': 2, 'Ni': 1}"
52,5d83020c30582ea2977a106d,-1.49427162,"{'V': 2, 'Au': 1}","{'V': 7, 'Au': 3}","{'V': 5, 'Au': 1}"
53,5d83020c30582ea2977a106e,0.1693809,"{'Sn': 3, 'Au': 1}",{'Au': 13},{'Au': 6}
54,5d83020c30582ea2977a106f,-0.02077104,{'Ag': 1},"{'Ag': 2, 'Ga': 3}",{'Ag': 3}
55,5d83020c30582ea2977a1077,-1.64314451,"{'Fe': 2, 'Ni': 1}","{'Fe': 4, 'Ni': 5}","{'Fe': 4, 'Ni': 3}"
56,5d83020c30582ea2977a1080,-1.42925547,"{'Pt': 1, 'Ni': 2}","{'Ni': 4, 'Pt': 5}","{'Ni': 2, 'Pt': 4}"
57,5d83020c30582ea2977a108c,-1.64161477,{'Ni': 3},"{'In': 3, 'Ni': 6}",{'In': 4}
58,5d83020c30582ea2977a1095,-0.0543067,{'Al': 1},{'Au': 6},{'Au': 2}
59,5d83020c30582ea2977a1099,0.07780573,{'Ag': 1},"{'Al': 3, 'Ag': 3}","{'Al': 1, 'Ag': 2}"
60,5d83020c30582ea2977a109e,-1.81024966,{'Fe': 1},{'Ni': 6},{'Ni': 3}
61,5d83020c30582ea2977a10a2,-0.60192237,{'Fe': 3},"{'Fe': 3, 'W': 6}",{'Fe': 9}
62,5d83020c30582ea2977a10a8,-1.48259967,"{'Co': 1, 'Pt': 1}","{'Co': 7, 'Pt': 1}","{'Co': 4, 'Pt': 1}"
63,5d83020c30582ea2977a10a9,-0.25596997,"{'Cu': 1, 'Au': 1}","{'Cu': 1, 'Au': 7}","{'Cu': 1, 'Au': 4}"
64,5d83020c30582ea2977a10ad,-1.4639141,{'Re': 1},"{'Pd': 2, 'Re': 4}","{'Pd': 1, 'Re': 2}"
65,5d83020c30582ea2977a10b1,-1.64949123,"{'Co': 1, 'Fe': 2}","{'Co': 1, 'Fe': 6}","{'Co': 2, 'Fe': 6}"
66,5d83020c30582ea2977a10b3,-0.97274483,"{'Pd': 1, 'Re': 2}","{'Pd': 2, 'Re': 7}","{'Pd': 2, 'Re': 5}"
67,5d83020c30582ea2977a10b8,-0.04579059,{'Au': 2},"{'Ag': 3, 'Au': 5}","{'Ag': 2, 'Au': 3}"
68,5d83020c30582ea2977a10ba,-0.54753831,{'Pd': 1},"{'Pd': 3, 'Au': 3}",{'In': 1}
69,5d83020c30582ea2977a10c0,-1.6971987,{'Rh': 3},"{'Rh': 3, 'Ir': 7}",{'Ir': 8}
70,5d83020c30582ea2977a10c8,-0.11506648,{'Cu': 3},"{'Si': 3, 'Cu': 6}","{'Si': 3, 'Cu': 3}"
71,5d83020c30582ea2977a10cc,-1.32798637,{'W': 2},{'Fe': 11},{'W': 2}
72,5d83020c30582ea2977a10dd,-1.67541201,{'Fe': 2},"{'Re': 3, 'Fe': 5}","{'Re': 1, 'Fe': 4}"
73,5d83020c30582ea2977a10e2,-1.5942534,"{'In': 1, 'Rh': 1}","{'In': 3, 'Rh': 2}",{'In': 6}
74,5d83020c30582ea2977a10ea,-1.61175415,"{'Co': 1, 'Ni': 1}","{'Co': 7, 'Ni': 1}","{'Co': 4, 'Ni': 1}"
75,5d83020c30582ea2977a10ef,-1.63707331,"{'Co': 2, 'Ni': 1}","{'Co': 7, 'Ni': 2}","{'Co': 5, 'Ni': 1}"
76,5d83020c30582ea2977a10f2,-1.49559467,{'Re': 1},"{'Re': 4, 'Pt': 2}","{'Re': 2, 'Pt': 1}"
77,5d83020c30582ea2977a1105,-0.97289134,{'Pd': 1},{'Au': 6},{'Au': 3}
78,5d83020c30582ea2977a110a,-1.80940339,{'N': 3},{'Empty': 1},{'Fe': 12}
79,5d83020c30582ea2977a110f,-1.42107239,{'W': 1},{'Pt': 6},"{'Pt': 2, 'W': 1}"
80,5d83020c30582ea2977a1114,-0.21352039,{'Cu': 1},"{'Cu': 4, 'Ga': 2}","{'Cu': 2, 'Ga': 1}"
81,5d83020c30582ea2977a1117,-0.11260072,{'Pt': 2},{'Pt': 1},{'In': 7}
82,5d83020c30582ea2977a1122,-0.972998,"{'Re': 2, 'Pt': 1}","{'Re': 7, 'Pt': 2}","{'Re': 5, 'Pt': 1}"
83,5d83020c30582ea2977a1127,-1.25032946,"{'Re': 2, 'Ni': 1}","{'Re': 7, 'Ni': 2}","{'Re': 5, 'Ni': 1}"
84,5d83020c30582ea2977a1129,0.01892609,{'In': 3},{'Sb': 6},{'Empty': 1}
85,5d83020c30582ea2977a1135,-1.60617777,"{'Co': 1, 'Re': 2}","{'Co': 2, 'Re': 7}","{'Co': 2, 'Re': 5}"
86,5d83020c30582ea2977a1137,-1.41699908,"{'Rh': 2, 'W': 1}","{'Rh': 7, 'W': 2}","{'Rh': 5, 'W': 2}"
87,5d83020c30582ea2977a114a,-1.9190484,"{'N': 3, 'Fe': 1}",{'Fe': 8},{'Fe': 10}
88,5d83020c30582ea2977a1152,-1.68543568,"{'N': 1, 'V': 1}","{'N': 1, 'V': 2}","{'N': 1, 'V': 4}"
89,5d83020c30582ea2977a1156,-1.42580432,"{'Rh': 1, 'Ir': 2}","{'Ir': 7, 'Rh': 2}","{'Ir': 5, 'Rh': 2}"
90,5d83020c30582ea2977a115a,-0.0958457,{'Ga': 1},"{'N': 3, 'Al': 4}",{'Empty': 1}
