name,FNN,Same,Sub,target,CO_energy,H_energy,OH_energy
5d83020c30582ea2977a0e3e,{'Ir': 4},"{'Co': 9, 'Ir': 8}",{'Ir': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e3e,{'Co': 4},"{'Ir': 9, 'Co': 8}",{'Co': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Co': 1, 'Ir': 1}","{'Co': 7, 'Ir': 1}","{'Co': 4, 'Ir': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Ir': 1, 'Co': 1}","{'Ir': 7, 'Co': 1}","{'Ir': 4, 'Co': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Co': 1},{'Ir': 2},{'Ir': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Ir': 1},{'Co': 2},{'Co': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Ir': 1},"{'Co': 2, 'Ir': 4}","{'Co': 1, 'Ir': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Co': 1},"{'Ir': 2, 'Co': 4}","{'Ir': 1, 'Co': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Co': 1},{'Ir': 6},"{'Co': 1, 'Ir': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Ir': 1},{'Co': 6},"{'Ir': 1, 'Co': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Ir': 2},"{'Co': 3, 'Ir': 5}","{'Co': 1, 'Ir': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Co': 2},"{'Ir': 3, 'Co': 5}","{'Ir': 1, 'Co': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Ir': 1},"{'Co': 2, 'Ir': 2}","{'Co': 1, 'Ir': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Co': 1},"{'Ir': 2, 'Co': 2}","{'Ir': 1, 'Co': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
