name,FNN,Same,Sub,target,CO_energy,H_energy,OH_energy
5d83020c30582ea2977a0e3e,{'Rh': 4},"{'Co': 9, 'Rh': 8}",{'Rh': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e3e,{'Co': 4},"{'Rh': 9, 'Co': 8}",{'Co': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Co': 1, 'Rh': 1}","{'Co': 7, 'Rh': 1}","{'Co': 4, 'Rh': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Rh': 1, 'Co': 1}","{'Rh': 7, 'Co': 1}","{'Rh': 4, 'Co': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Co': 1},{'Rh': 2},{'Rh': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Rh': 1},{'Co': 2},{'Co': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Rh': 1},"{'Co': 2, 'Rh': 4}","{'Co': 1, 'Rh': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Co': 1},"{'Rh': 2, 'Co': 4}","{'Rh': 1, 'Co': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Co': 1},{'Rh': 6},"{'Co': 1, 'Rh': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Rh': 1},{'Co': 6},"{'Rh': 1, 'Co': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Rh': 2},"{'Co': 3, 'Rh': 5}","{'Co': 1, 'Rh': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Co': 2},"{'Rh': 3, 'Co': 5}","{'Rh': 1, 'Co': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Rh': 1},"{'Co': 2, 'Rh': 2}","{'Co': 1, 'Rh': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Co': 1},"{'Rh': 2, 'Co': 2}","{'Rh': 1, 'Co': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
