name,FNN,Same,Sub,target,CO_energy,H_energy,OH_energy
5d83020c30582ea2977a0e3e,{'Si': 4},"{'Cr': 9, 'Si': 8}",{'Si': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e3e,{'Cr': 4},"{'Si': 9, 'Cr': 8}",{'Cr': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Cr': 1, 'Si': 1}","{'Cr': 7, 'Si': 1}","{'Cr': 4, 'Si': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Si': 1, 'Cr': 1}","{'Si': 7, 'Cr': 1}","{'Si': 4, 'Cr': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Cr': 1},{'Si': 2},{'Si': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Si': 1},{'Cr': 2},{'Cr': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Si': 1},"{'Cr': 2, 'Si': 4}","{'Cr': 1, 'Si': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Cr': 1},"{'Si': 2, 'Cr': 4}","{'Si': 1, 'Cr': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Cr': 1},{'Si': 6},"{'Cr': 1, 'Si': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Si': 1},{'Cr': 6},"{'Si': 1, 'Cr': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Si': 2},"{'Cr': 3, 'Si': 5}","{'Cr': 1, 'Si': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Cr': 2},"{'Si': 3, 'Cr': 5}","{'Si': 1, 'Cr': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Si': 1},"{'Cr': 2, 'Si': 2}","{'Cr': 1, 'Si': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Cr': 1},"{'Si': 2, 'Cr': 2}","{'Si': 1, 'Cr': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
