name,FNN,Same,Sub,target,CO_energy,H_energy,OH_energy
5d83020c30582ea2977a0e3e,{'Ti': 4},"{'Re': 9, 'Ti': 8}",{'Ti': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e3e,{'Re': 4},"{'Ti': 9, 'Re': 8}",{'Re': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Re': 1, 'Ti': 1}","{'Re': 7, 'Ti': 1}","{'Re': 4, 'Ti': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Ti': 1, 'Re': 1}","{'Ti': 7, 'Re': 1}","{'Ti': 4, 'Re': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Re': 1},{'Ti': 2},{'Ti': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Ti': 1},{'Re': 2},{'Re': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Ti': 1},"{'Re': 2, 'Ti': 4}","{'Re': 1, 'Ti': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Re': 1},"{'Ti': 2, 'Re': 4}","{'Ti': 1, 'Re': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Re': 1},{'Ti': 6},"{'Re': 1, 'Ti': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Ti': 1},{'Re': 6},"{'Ti': 1, 'Re': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Ti': 2},"{'Re': 3, 'Ti': 5}","{'Re': 1, 'Ti': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Re': 2},"{'Ti': 3, 'Re': 5}","{'Ti': 1, 'Re': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Ti': 1},"{'Re': 2, 'Ti': 2}","{'Re': 1, 'Ti': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Re': 1},"{'Ti': 2, 'Re': 2}","{'Ti': 1, 'Re': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
