name,FNN,Same,Sub,target,CO_energy,H_energy,OH_energy
5d83020c30582ea2977a0e3e,{'V': 4},"{'Re': 9, 'V': 8}",{'V': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e3e,{'Re': 4},"{'V': 9, 'Re': 8}",{'Re': 4},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'Re': 1, 'V': 1}","{'Re': 7, 'V': 1}","{'Re': 4, 'V': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e42,"{'V': 1, 'Re': 1}","{'V': 7, 'Re': 1}","{'V': 4, 'Re': 1}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'Re': 1},{'V': 2},{'V': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e4c,{'V': 1},{'Re': 2},{'Re': 2},0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'V': 1},"{'Re': 2, 'V': 4}","{'Re': 1, 'V': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e81,{'Re': 1},"{'V': 2, 'Re': 4}","{'V': 1, 'Re': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'Re': 1},{'V': 6},"{'Re': 1, 'V': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e88,{'V': 1},{'Re': 6},"{'V': 1, 'Re': 2}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'V': 2},"{'Re': 3, 'V': 5}","{'Re': 1, 'V': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0e8d,{'Re': 2},"{'V': 3, 'Re': 5}","{'V': 1, 'Re': 4}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'V': 1},"{'Re': 2, 'V': 2}","{'Re': 1, 'V': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
5d83020c30582ea2977a0eab,{'Re': 1},"{'V': 2, 'Re': 2}","{'V': 1, 'Re': 3}",0.0,-0.7462728199999923,0.1736913850000029,0.3195200150000483
